t,b
6.25,0
6.26,0
6.27,0
6.28,0
6.29,0
6.3,0
6.31,0
6.32,0
6.33,0
6.34,0
6.35,0
6.36,0
6.37,0
6.38,0
6.39,0
6.4,0
6.41,0
6.42,0
6.43,0
6.44,0
6.45,0
6.46,0
6.47,0
6.48,0
6.49,0
6.5,0
6.51,0
6.52,0
6.53,0
6.54,0
6.55,0
6.56,0
6.57,0
6.58,0
6.59,0
6.6,0
6.61,0
6.62,0
6.63,0
6.64,0
6.65,0
6.66,0
6.67,0
6.68,0
6.69,0
6.7,0
6.71,0
6.72,0
6.73,0
6.74,0
6.75,0
6.76,0
6.77,0
6.78,0
6.79,0
6.8,0
6.81,0
6.82,0
6.83,0
6.84,0
6.85,0
6.86,0
6.87,0
6.88,0
6.89,0
6.9,0
6.91,0
6.92,0
6.93,0
6.94,0
6.95,0
6.96,0
6.97,0
6.98,0
6.99,0
7,0
7.01,0
7.02,0
7.03,0
7.04,0
7.05,0
7.06,0
7.07,0
7.08,0
7.09,0
7.1,0
7.11,0
7.12,0
7.13,0
7.14,0
7.15,0
7.16,0
7.17,0
7.18,0
7.19,0
7.2,0
7.21,0
7.22,0
7.23,0
7.24,0
7.25,0
7.26,0
7.27,0
7.28,0
7.29,0
7.3,0
7.31,0
7.32,0
7.33,0
7.34,0
7.35,0
7.36,0
7.37,0
7.38,0
7.39,0
7.4,0
7.41,0
7.42,0
7.43,0
7.44,0
7.45,0
7.46,0
7.47,0
7.48,0
7.49,0
7.5,0
7.51,0
7.52,0
7.53,0
7.54,0
7.55,0
7.56,0
7.57,0
7.58,0
7.59,0
7.6,0
7.61,0
7.62,0
7.63,0
7.64,0
7.65,0
7.66,0
7.67,0
7.68,0
7.69,0
7.7,0
7.71,0
7.72,0
7.73,0
7.74,0
7.75,0
7.76,0
7.77,0
7.78,0
7.79,0
7.8,0
7.81,0
7.82,0
7.83,0
7.84,0
7.85,0
7.86,0
7.87,0
7.88,0
7.89,0
7.9,0
7.91,0
7.92,0
7.93,0
7.94,0
7.95,0
7.96,0
7.97,0
7.98,0
7.99,0
8,0
8.01,0
8.02,0
8.03,0
8.04,0
8.05,0
8.06,0
8.07,0
8.08,0
8.09,0
8.1,0
8.11,0
8.12,0
8.13,0
8.14,0
8.15,0
8.16,0
8.17,0
8.18,0
8.19,0
8.2,0
8.21,0
8.22,0
8.23,0
8.24,0
8.25,0
8.26,0
8.27,0
8.28,0
8.29,0
8.3,0
8.31,0
8.32,0
8.33,0
8.34,0
8.35,0
8.36,0
8.37,0
8.38,0
8.39,0
8.4,0
8.41,0
8.42,0
8.43,0
8.44,0
8.45,0
8.46,0
8.47,0
8.48,0
8.49,0
8.5,0
8.51,0
8.52,0
8.53,0
8.54,0
8.55,0
8.56,0
8.57,0
8.58,0
8.59,0
8.6,0
8.61,0
8.62,0
8.63,0
8.64,0
8.65,0
8.66,0
8.67,0
8.68,0
8.69,0
8.7,0
8.71,0
8.72,0
8.73,0
8.74,0
8.75,0
8.76,0
8.77,0
8.78,0
8.79,0
8.8,0
8.81,0
8.82,0
8.83,0
8.84,0
8.85,0
8.86,0
8.87,0
8.88,0
8.89,0
8.9,0
8.91,0
8.92,0
8.93,0
8.94,0
8.95,0
8.96,0
8.97,0
8.98,0
8.99,0
9,0
9.01,0
9.02,0
9.03,0
9.04,0
9.05,0
9.06,0
9.07,0
9.08,0
9.09,0
9.1,0
9.11,0
9.12,0
9.13,0
9.14,0
9.15,0
9.16,0
9.17,0
9.18,0
9.19,0
9.2,0
9.21,0
9.22,0
9.23,0
9.24,0
9.25,0
9.26,0
9.27,0
9.28,0
9.29,0
9.3,0
9.31,0
9.32,0
9.33,0
9.34,0
9.35,0
9.36,0
9.37,0
9.38,0
9.39,0
9.4,0
9.41,0
9.42,0
9.43,0
9.44,0
9.45,0
9.46,0
9.47,0
9.48,0
9.49,0
9.5,0
9.51,0
9.52,0
9.53,0
9.54,0
9.55,0
9.56,0
9.57,0
9.58,0
9.59,0
9.6,0
9.61,0
9.62,0
9.63,0
9.64,0
9.65,0
9.66,0
9.67,0
9.68,0
9.69,0
9.7,0
9.71,0
9.72,0
9.73,0
9.74,0
9.75,0
9.76,0
9.77,0
9.78,0
9.79,0
9.8,0
9.81,0
9.82,0
9.83,0
9.84,0
9.85,0
9.86,0
9.87,0
9.88,0
9.89,0
9.9,0
9.91,0
9.92,0
9.93,0
9.94,0
9.95,0
9.96,0
9.97,0
9.98,0
9.99,0
10,0
10.01,0
10.02,0
10.03,0
10.04,0
10.05,0
10.06,0
10.07,0
10.08,0
10.09,0
10.1,0
10.11,0
10.12,0
10.13,0
10.14,0
10.15,0
10.16,0
10.17,0
10.18,0
10.19,0
10.2,0
10.21,0
10.22,0
10.23,0
10.24,0
10.25,0
10.26,0
10.27,0
10.28,0
10.29,0
10.3,0
10.31,0
10.32,0
10.33,0
10.34,0
10.35,0
10.36,0
10.37,0
10.38,0
10.39,0
10.4,0
10.41,0
10.42,0
10.43,0
10.44,0
10.45,0
10.46,0
10.47,0
10.48,0
10.49,0
10.5,0
10.51,0
10.52,0
10.53,0
10.54,0
10.55,0
10.56,0
10.57,0
10.58,0
10.59,0
10.6,0
10.61,0
10.62,0
10.63,0
10.64,0
10.65,0
10.66,0
10.67,0
10.68,0
10.69,0
10.7,0
10.71,0
10.72,0
10.73,0
10.74,0
10.75,0
10.76,0
10.77,0
10.78,0
10.79,0
10.8,0
10.81,0
10.82,0
10.83,0
10.84,0
10.85,0
10.86,0
10.87,0
10.88,0
10.89,0
10.9,0
10.91,0
10.92,0
10.93,0
10.94,0
10.95,0
10.96,0
10.97,0
10.98,0
10.99,0
11,0
11.01,0
11.02,0
11.03,0
11.04,0
11.05,0
11.06,0
11.07,0
11.08,0
11.09,0
11.1,0
11.11,0
11.12,0
11.13,0
11.14,0
11.15,0
11.16,0
11.17,0
11.18,0
11.19,0
11.2,0
11.21,0
11.22,0
11.23,0
11.24,0
11.25,0
11.26,0
11.27,0
11.28,0
11.29,0
11.3,0
11.31,0
11.32,0
11.33,0
11.34,0
11.35,0
11.36,0
11.37,0
11.38,0
11.39,0
11.4,0
11.41,0
11.42,0
11.43,0
11.44,0
11.45,0
11.46,0
11.47,0
11.48,0
11.49,0
11.5,0
11.51,0
11.52,0
11.53,0
11.54,0
11.55,0
11.56,0
11.57,0
11.58,0
11.59,0
11.6,0
11.61,0
11.62,0
11.63,0
11.64,0
11.65,0
11.66,0
11.67,0
11.68,0
11.69,0
11.7,0
11.71,0
11.72,0
11.73,0
11.74,0
11.75,0
11.76,0
11.77,0
11.78,0
11.79,0
11.8,0
11.81,0
11.82,0
11.83,0
11.84,0
11.85,0
11.86,0
11.87,0
11.88,0
11.89,0
11.9,0
11.91,0
11.92,0
11.93,0
11.94,0
11.95,0
11.96,0
11.97,0
11.98,0
11.99,0
12,0
12.01,0
12.02,0
12.03,0
12.04,0
12.05,0
12.06,0
12.07,0
12.08,0
12.09,0
12.1,0
12.11,0
12.12,0
12.13,0
12.14,0
12.15,0
12.16,0
12.17,0
12.18,0
12.19,0
12.2,0
12.21,0
12.22,0
12.23,0
12.24,0
12.25,0
12.26,0
12.27,0
12.28,0
12.29,0
12.3,0
12.31,0
12.32,0
12.33,0
12.34,0
12.35,0
12.36,0
12.37,0
12.38,0
12.39,0
12.4,0
12.41,0
12.42,0
12.43,0
12.44,0
12.45,0
12.46,0
12.47,0
12.48,0
12.49,0
12.5,0
12.51,0
12.52,0
12.53,0
12.54,0
12.55,0
12.56,0
12.57,0
12.58,0
12.59,0
12.6,0
12.61,0
12.62,0
12.63,0
12.64,0
12.65,0
12.66,0
12.67,0
12.68,0
12.69,0
12.7,0
12.71,0
12.72,0
12.73,0
12.74,0
12.75,0
12.76,0
12.77,0
12.78,0
12.79,0
12.8,0
12.81,0
12.82,0
12.83,0
12.84,0
12.85,0
12.86,0
12.87,0
12.88,0
12.89,0
12.9,0
12.91,0
12.92,0
12.93,0
12.94,0
12.95,0
12.96,0
12.97,0
12.98,0
12.99,0
13,0
13.01,0
13.02,0
13.03,0
13.04,0
13.05,0
13.06,0
13.07,0
13.08,0
13.09,0
13.1,0
13.11,0
13.12,0
13.13,0
13.14,0
13.15,0
13.16,0
13.17,0
13.18,0
13.19,0
13.2,0
13.21,0
13.22,0
13.23,0
13.24,0
13.25,0
13.26,0
13.27,0
13.28,0
13.29,0
13.3,0
13.31,0
13.32,0
13.33,0
13.34,0
13.35,0
13.36,0
13.37,0
13.38,0
13.39,0
13.4,0
13.41,0
13.42,0
13.43,0
13.44,0
13.45,0
13.46,0
13.47,0
13.48,0
13.49,0
13.5,0
13.51,0
13.52,0
13.53,0
13.54,0
13.55,0
13.56,0
13.57,0
13.58,0
13.59,0
13.6,0
13.61,0
13.62,0
13.63,0
13.64,0
13.65,0
13.66,0
13.67,0
13.68,0
13.69,0
13.7,0
13.71,0
13.72,0
13.73,0
13.74,0
13.75,0
13.76,0
13.77,0
13.78,0
13.79,0
13.8,0
13.81,0
13.82,0
13.83,0
13.84,0
13.85,0
13.86,0
13.87,0
13.88,0
13.89,0
13.9,0
13.91,0
13.92,0
13.93,0
13.94,0
13.95,0
13.96,0
13.97,0
13.98,0
13.99,0
14,0
14.01,0
14.02,0
14.03,0
14.04,0
14.05,0
14.06,0
14.07,0
14.08,0
14.09,0
14.1,0
14.11,0
14.12,0
14.13,0
14.14,0
14.15,0
14.16,0
14.17,0
14.18,0
14.19,0
14.2,0
14.21,0
14.22,0
14.23,0
14.24,0
14.25,0
14.26,0
14.27,0
14.28,0
14.29,0
14.3,0
14.31,0
14.32,0
14.33,0
14.34,0
14.35,0
14.36,0
14.37,0
14.38,0
14.39,0
14.4,0
14.41,0
14.42,0
14.43,0
14.44,0
14.45,0
14.46,0
14.47,0
14.48,0
14.49,0
14.5,0
14.51,0
14.52,0
14.53,0
14.54,0
14.55,0
14.56,0
14.57,0
14.58,0
14.59,0
14.6,0
14.61,0
14.62,0
14.63,0
14.64,0
14.65,0
14.66,0
14.67,0
14.68,0
14.69,0
14.7,0
14.71,0
14.72,0
14.73,0
14.74,0
14.75,0
14.76,0
14.77,0
14.78,0
14.79,0
14.8,0
14.81,0
14.82,0
14.83,0
14.84,0
14.85,0
14.86,0
14.87,0
14.88,0
14.89,0
14.9,0
14.91,0
14.92,0
14.93,0
14.94,0
14.95,0
14.96,0
14.97,0
14.98,0
14.99,0
15,0
15.01,0
15.02,0
15.03,0
15.04,0
15.05,0
15.06,0
15.07,0
15.08,0
15.09,0
15.1,0
15.11,0
15.12,0
15.13,0
15.14,0
15.15,0
15.16,0
15.17,0
15.18,0
15.19,0
15.2,0
15.21,0
15.22,0
15.23,0
15.24,0
15.25,0
15.26,0
15.27,0
15.28,0
15.29,0
15.3,0
15.31,0
15.32,0
15.33,0
15.34,0
15.35,0
15.36,0
15.37,0
15.38,0
15.39,0
15.4,0
15.41,0
15.42,0
15.43,0
15.44,0
15.45,0
15.46,0
15.47,0
15.48,0
15.49,0
15.5,0
15.51,0
15.52,0
15.53,0
15.54,0
15.55,0
15.56,0
15.57,0
15.58,0
15.59,0
15.6,0
15.61,0
15.62,0
15.63,0
15.64,0
15.65,0
15.66,0
15.67,0
15.68,0
15.69,0
15.7,0
15.71,0
15.72,0
15.73,0
15.74,1
15.75,1
15.76,1
15.77,1
15.78,1
15.79,1
15.8,1
15.81,1
15.82,1
15.83,1
15.84,1
15.85,1
15.86,1
15.87,1
15.88,1
15.89,1
15.9,1
15.91,1
15.92,1
15.93,1
15.94,1
15.95,1
15.96,1
15.97,1
15.98,1
15.99,1
16,1
16.01,1
16.02,1
16.03,1
16.04,1
16.05,1
16.06,1
16.07,1
16.08,1
16.09,1
16.1,1
16.11,1
16.12,1
16.13,1
16.14,1
16.15,1
16.16,1
16.17,1
16.18,1
16.19,1
16.2,1
16.21,1
16.22,1
16.23,1
16.24,1
16.25,1
16.26,1
16.27,1
16.28,1
16.29,1
16.3,1
16.31,1
16.32,1
16.33,1
16.34,1
16.35,1
16.36,1
16.37,1
16.38,1
16.39,1
16.4,1
16.41,1
16.42,1
16.43,1
16.44,1
16.45,1
16.46,1
16.47,1
16.48,1
16.49,1
16.5,1
16.51,1
16.52,1
16.53,1
16.54,1
16.55,1
16.56,1
16.57,1
16.58,1
16.59,1
16.6,1
16.61,1
16.62,1
16.63,1
16.64,1
16.65,1
16.66,1
16.67,1
16.68,1
16.69,1
16.7,1
16.71,1
16.72,1
16.73,1
16.74,1
16.75,1
16.76,1
16.77,1
16.78,1
16.79,1
16.8,1
16.81,1
16.82,1
16.83,1
16.84,1
16.85,1
16.86,1
16.87,1
16.88,1
16.89,1
16.9,1
16.91,1
16.92,1
16.93,1
16.94,1
16.95,1
16.96,1
16.97,1
16.98,1
16.99,1
17,1
17.01,1
17.02,1
17.03,1
17.04,1
17.05,1
17.06,1
17.07,1
17.08,1
17.09,1
17.1,1
17.11,1
17.12,1
17.13,1
17.14,1
17.15,1
17.16,1
17.17,1
17.18,1
17.19,1
17.2,1
17.21,1
17.22,1
17.23,1
17.24,1
17.25,1
17.26,1
17.27,1
17.28,1
17.29,1
17.3,1
17.31,1
17.32,1
17.33,1
17.34,1
17.35,1
17.36,1
17.37,1
17.38,1
17.39,1
17.4,1
17.41,1
17.42,1
17.43,1
17.44,1
17.45,1
17.46,1
17.47,1
17.48,1
17.49,1
17.5,1
17.51,1
17.52,1
17.53,1
17.54,1
17.55,1
17.56,1
17.57,1
17.58,1
17.59,1
17.6,1
17.61,1
17.62,1
17.63,1
17.64,1
17.65,1
17.66,1
17.67,1
17.68,1
17.69,1
17.7,1
17.71,1
17.72,1
17.73,1
17.74,1
17.75,1
17.76,1
17.77,1
17.78,1
17.79,1
17.8,1
17.81,1
17.82,1
17.83,1
17.84,1
17.85,1
17.86,1
17.87,1
17.88,1
17.89,1
17.9,1
17.91,1
17.92,1
17.93,1
17.94,1
17.95,1
17.96,1
17.97,1
17.98,1
17.99,1
18,1
18.01,1
18.02,1
18.03,1
18.04,1
18.05,1
18.06,1
18.07,1
18.08,1
18.09,1
18.1,1
18.11,1
18.12,1
18.13,1
18.14,1
18.15,1
18.16,1
18.17,1
18.18,1
18.19,1
18.2,1
18.21,1
18.22,1
18.23,1
18.24,1
18.25,1
18.26,1
18.27,1
18.28,1
18.29,1
18.3,1
18.31,1
18.32,1
18.33,1
18.34,1
18.35,1
18.36,1
18.37,1
18.38,1
18.39,1
18.4,1
18.41,1
18.42,1
18.43,1
18.44,1
18.45,1
18.46,1
18.47,1
18.48,1
18.49,1
18.5,1
18.51,1
18.52,1
18.53,1
18.54,1
18.55,1
18.56,1
18.57,1
18.58,1
18.59,1
18.6,1
18.61,1
18.62,1
18.63,1
18.64,1
18.65,1
18.66,1
18.67,1
18.68,1
18.69,1
18.7,1
18.71,1
18.72,1
18.73,1
18.74,1
18.75,1
18.76,1
18.77,1
18.78,1
18.79,1
18.8,1
18.81,1
18.82,1
18.83,1
18.84,1
18.85,1
18.86,1
18.87,1
18.88,1
18.89,1
18.9,1
18.91,1
18.92,1
18.93,1
18.94,1
18.95,1
18.96,1
18.97,1
18.98,1
18.99,1
19,1
19.01,1
19.02,1
19.03,1
19.04,1
19.05,1
19.06,1
19.07,1
19.08,1
19.09,1
19.1,1
19.11,1
19.12,1
19.13,1
19.14,1
19.15,1
19.16,1
19.17,1
19.18,1
19.19,1
19.2,1
19.21,1
19.22,1
19.23,1
19.24,1
19.25,1
19.26,1
19.27,1
19.28,1
19.29,1
19.3,1
19.31,1
19.32,1
19.33,1
19.34,1
19.35,1
19.36,1
19.37,1
19.38,1
19.39,1
19.4,1
19.41,1
19.42,1
19.43,1
19.44,1
19.45,1
19.46,1
19.47,1
19.48,1
19.49,1
19.5,1
19.51,1
19.52,1
19.53,1
19.54,1
19.55,1
19.56,1
19.57,1
19.58,1
19.59,1
19.6,1
19.61,1
19.62,1
19.63,1
19.64,1
19.65,1
19.66,1
19.67,1
19.68,1
19.69,1
19.7,1
19.71,1
19.72,1
19.73,1
19.74,1
19.75,1
19.76,1
19.77,1
19.78,1
19.79,1
19.8,1
19.81,1
19.82,1
19.83,1
19.84,1
19.85,1
19.86,1
19.87,1
19.88,1
19.89,1
19.9,1
19.91,1
19.92,1
19.93,1
19.94,1
19.95,1
19.96,1
19.97,1
19.98,1
19.99,1
20,1
20.01,1
20.02,1
20.03,1
20.04,1
20.05,1
20.06,1
20.07,1
20.08,1
20.09,1
20.1,1
20.11,1
20.12,1
20.13,1
20.14,1
20.15,1
20.16,1
20.17,1
20.18,1
20.19,1
20.2,1
20.21,1
20.22,1
20.23,1
20.24,1
20.25,1
20.26,1
20.27,1
20.28,1
20.29,1
20.3,1
20.31,1
20.32,1
20.33,1
20.34,1
20.35,1
20.36,1
20.37,1
20.38,1
20.39,1
20.4,1
20.41,1
20.42,1
20.43,1
20.44,1
20.45,1
20.46,1
20.47,1
20.48,1
20.49,1
20.5,1
20.51,1
20.52,1
20.53,1
20.54,1
20.55,1
20.56,1
20.57,1
20.58,1
20.59,1
20.6,1
20.61,1
20.62,1
20.63,1
20.64,1
20.65,1
20.66,1
20.67,1
20.68,1
20.69,1
20.7,1
20.71,1
20.72,1
20.73,1
20.74,1
20.75,1
20.76,1
20.77,1
20.78,1
20.79,1
20.8,1
20.81,1
20.82,1
20.83,1
20.84,1
20.85,1
20.86,1
20.87,1
20.88,1
20.89,1
20.9,1
20.91,1
20.92,1
20.93,1
20.94,1
20.95,1
20.96,1
20.97,1
20.98,1
20.99,1
21,1
21.01,1
21.02,1
21.03,1
21.04,1
21.05,1
21.06,1
21.07,1
21.08,1
21.09,1
21.1,1
21.11,1
21.12,1
21.13,1
21.14,1
21.15,1
21.16,1
21.17,1
21.18,1
21.19,1
21.2,1
21.21,1
21.22,1
21.23,1
21.24,1
21.25,1
21.26,1
21.27,1
21.28,1
21.29,1
21.3,1
21.31,1
21.32,1
21.33,1
21.34,1
21.35,1
21.36,1
21.37,1
21.38,1
21.39,1
21.4,1
21.41,1
21.42,1
21.43,1
21.44,1
21.45,1
21.46,1
21.47,1
21.48,1
21.49,1
21.5,1
21.51,1
21.52,1
21.53,1
21.54,1
21.55,1
21.56,1
21.57,1
21.58,1
21.59,1
21.6,1
21.61,1
21.62,1
21.63,1
21.64,1
21.65,1
21.66,1
21.67,1
21.68,1
21.69,1
21.7,1
21.71,1
21.72,1
21.73,1
21.74,1
21.75,1
21.76,1
21.77,1
21.78,1
21.79,1
21.8,1
21.81,1
21.82,1
21.83,1
21.84,1
21.85,1
21.86,1
21.87,1
21.88,1
21.89,1
21.9,1
21.91,1
21.92,1
21.93,1
21.94,1
21.95,1
21.96,1
21.97,1
21.98,1
21.99,1
22,1
22.01,1
22.02,1
22.03,1
22.04,1
22.05,1
22.06,1
22.07,1
22.08,1
22.09,1
22.1,1
22.11,1
22.12,1
22.13,1
22.14,1
22.15,1
22.16,1
22.17,1
22.18,1
22.19,1
22.2,1
22.21,1
22.22,1
22.23,1
22.24,1
22.25,1
22.26,1
22.27,1
22.28,1
22.29,1
22.3,1
22.31,1
22.32,1
22.33,1
22.34,1
22.35,1
22.36,1
22.37,1
22.38,1
22.39,1
22.4,1
22.41,1
22.42,1
22.43,1
22.44,1
22.45,1
22.46,1
22.47,1
22.48,1
22.49,1
22.5,1
22.51,1
22.52,1
22.53,1
22.54,1
22.55,1
22.56,1
22.57,1
22.58,1
22.59,1
22.6,1
22.61,1
22.62,1
22.63,1
22.64,1
22.65,1
22.66,1
22.67,1
22.68,1
22.69,1
22.7,1
22.71,1
22.72,1
22.73,1
22.74,1
22.75,1
22.76,1
22.77,1
22.78,1
22.79,1
22.8,1
22.81,1
22.82,1
22.83,1
22.84,1
22.85,1
22.86,1
22.87,1
22.88,1
22.89,1
22.9,1
22.91,1
22.92,1
22.93,1
22.94,1
22.95,1
22.96,1
22.97,1
22.98,1
22.99,1
23,1
23.01,1
23.02,1
23.03,1
23.04,1
23.05,1
23.06,1
23.07,1
23.08,1
23.09,1
23.1,1
23.11,1
23.12,1
23.13,1
23.14,1
23.15,1
23.16,1
23.17,1
23.18,1
23.19,1
23.2,1
23.21,1
23.22,1
23.23,1
23.24,1
23.25,1
23.26,1
23.27,1
23.28,1
23.29,1
23.3,1
23.31,1
23.32,1
23.33,1
23.34,1
23.35,1
23.36,1
23.37,1
23.38,1
23.39,1
